#counts calculated with ./count-unique-hermes.pl
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG10.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:06:30 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 9.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:23:01 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:23:29 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG9.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:52:31 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10-11.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:44:19 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 12-13.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:33:24 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 6.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:28:04 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 10.11.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:03:22 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 12.13.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:39:47 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 7.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:27:54 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl 8.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:19:51 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG6.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:21:43 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG7.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 11:07:14 2016
#Altered with: ./correct-insertion-positions.pl
#fwd_adjust 1
#rev_adjust -1
#script /home/ucbtlgr/bin/hermes-positions-from-bam.pl LG8.raw S.pombe.genome.2015-01-12.and.pHL2577.fa
#date Thu Apr 21 10:45:31 2016
#script ./hermes-counts-per-gene5.pl
#date Wed Feb  1 12:43:21 2017
#counts ../insertion-data/all-log.counts.2016-04-27.txt
#gff NA (anno:ID primarytag:CDS)
#bed all-genes.bed
#ipkm is (insert counts)/kb per million inserts in the sample
#uipkm is (unique insert positions)/kb per million unique insert positions in the sample (corrected in this version)
#total_insertions:	30219406
#total_unique_sites:	929053 
gene	len	sites	fwd	rev	min	max	mean	median	sitespernt	totalinserts	ipkm	uipkm
SPAC1420.02c	2001	48	31	19	1	180	10.3541666666667	3	0.0239880059970015	497	8.21908319753052	25.8198466578349
SPNCRNA.1569	671	60	30	32	1	389	23.9833333333333	389	0.0894187779433681	1439	70.9663306312213	96.2472301831737
SPBC3F6.03	2305	421	237	271	1	2762	49.3729216152019	8	0.182646420824295	20786	298.410478970205	196.594188732284
SPNCRNA.1079	1289	59	25	34	1	50	6.03389830508475	11	0.0457719162141195	356	9.1392626203459	49.2672820755323
SPAC1296.02	1117	58	25	35	1	288	17.6724137931034	17	0.0519247985675918	1025	30.3658029019507	55.8900284134401
SPBC12D12.01	2981	194	95	113	1	945	35.2680412371134	7	0.0650788326065079	6842	75.9512927563672	70.0485683879261
SPCC1183.11	4334	266	155	115	1	428	10.6240601503759	13	0.0613751730503	2826	21.5773112888493	66.0620793973002
SPBC1289.01c	2445	233	135	132	1	1081	35.549356223176	1	0.0952965235173824	8283	112.104455704712	102.573828960654
SPNCRNA.638	783	34	17	18	1	189	24.8823529411765	14	0.0434227330779055	846	35.7538387787947	46.738703903766
SPBC23G7.13c	2352	144	74	71	1	281	14.0069444444444	1	0.0612244897959184	2017	28.3780570409254	65.8998892376628
SPAC1F3.01	2497	51	23	30	1	270	11.1176470588235	1	0.0204245094112936	567	7.51412807334404	21.9842241629848
SPAC23H4.06	2077	97	54	49	1	176	9.94845360824742	1	0.0467019740009629	965	15.3746377993716	50.2683635927799
SPAC22E12.09c	2435	80	49	43	1	488	36.6125	8	0.0328542094455852	2929	39.8047116917682	35.3631164697657
SPAP27G11.16	315	36	17	22	1	87	10.9722222222222	2	0.114285714285714	395	41.495463344589	123.013126576971
SPAC2G11.13	2051	182	101	94	1	902	28.5714285714286	1	0.0887372013651877	5200	83.8980293138103	95.5136051066922
SPBC902.05c	1939	99	62	50	1	467	18.4747474747475	15	0.0510572460030944	1829	31.2140393051812	54.956225320939
SPAC19A8.07c	1146	49	20	29	1	790	34.8367346938776	790	0.0427574171029668	1707	49.2904723478522	46.0225811691764
SPAC959.09c	3135	99	51	53	1	305	13.3737373737374	2	0.0315789473684211	1324	13.9754086709824	33.9904691857419
SPNCRNA.321	831	128	74	64	1	486	20.125	2	0.154031287605295	2576	102.579106388013	165.793864941284
SPNCRNA.700	1533	57	32	26	1	481	18.0350877192982	7	0.0371819960861057	1028	22.1903951716165	40.0213939205898
SPCC965.09	1726	177	90	106	1	1089	28.9039548022599	1	0.102549246813441	5116	98.0852765571073	110.380405438055
SPAC3H1.07	1242	129	74	63	1	357	21.1550387596899	1	0.103864734299517	2729	72.710313361923	111.796349938612
SPAC1F7.13c	874	13	3	10	1	11	2	1	0.0148741418764302	26	0.984409943493278	16.0100036019799
SPBC1685.11	1551	128	72	65	1	358	17.7265625	1	0.0825274016763378	2269	48.4101885979562	88.8295949491986
SPCC320.13c	1412	26	14	12	1	114	13.2692307692308	2	0.018413597733711	345	8.08534349154304	19.8197495016011
SPCC1902.01	4256	304	159	156	1	827	24.8684210526316	1	0.0714285714285714	7560	58.7806322028197	76.8832041106066
SPBC3D6.05	1895	91	48	45	1	77	9.45054945054945	44	0.0480211081794195	860	15.0176961625185	51.6882332648617
SPAC630.10	1239	102	55	53	1	219	16.1274509803922	1	0.0823244552058111	1645	43.9348018891969	88.6111505003602
SPNCRNA.32	430	31	17	14	1	21	3.83870967741935	2	0.072093023255814	119	9.15783010581054	77.5983967069844
SPNCRNA.890	2108	155	78	82	1	257	12.7548387096774	1	0.0735294117647059	1977	31.0348849172046	79.1444748197421
SPAC23C11.16	2604	57	31	27	1	184	11.4210526315789	1	0.021889400921659	651	8.27282971743389	23.5609819048633
SPCC1235.05c	4231	317	161	168	1	926	14.6782334384858	9	0.0749231860080359	4653	36.3918474830725	80.6446844346188
SPNCRNA.870	2070	163	96	77	1	782	28.3926380368098	8	0.078743961352657	4628	73.9838761976503	84.7572327441567
SPCC18.13	1838	72	39	34	1	447	18.1944444444444	1	0.0391730141458107	1310	23.5852163870259	42.1644557908006
SPAC22G7.06c	6951	335	164	175	1	478	8.22686567164179	2	0.0481945043878579	2756	13.1203675449563	51.8748708500568
SPAC8C9.10c	1308	55	34	24	1	121	13.2181818181818	2	0.0420489296636086	727	18.3924990965579	45.2599901874366
SPAC15A10.12c	1261	74	38	39	1	110	13.8108108108108	1	0.0586835844567803	1022	26.8194511378824	63.1649480242573
SPCC306.07c	1619	86	49	42	1	73	8.63953488372093	2	0.0531192093885114	743	15.1864421990201	57.1756502465537
SPNCRNA.493	506	28	12	17	1	88	11.5	88	0.0553359683794466	322	21.0581120080135	59.561691722051
SPSNORNA.03	100	4	3	1	1	5	2.75	1	0.04	11	3.64004507567091	43.0545943019397
SPAC4F10.10c	2095	110	69	51	1	999	36.1636363636364	24	0.0525059665871122	3978	62.834017405159	56.5155772459829
SPNCRNA.1213	1981	155	81	75	1	1255	26.3741935483871	7	0.0782433114588592	4088	68.2873859361328	84.2183507925373
SPCC613.08	1365	49	26	24	1	158	17.6938775510204	1	0.0358974358974359	867	21.0184420952826	38.6387384760997
SPCC1494.06c	2271	53	22	35	1	231	13.1509433962264	107	0.0233377366798767	697	10.156164355881	25.1199196169397
SPAC19G12.05	1270	89	49	41	1	581	15.4943820224719	1	0.0700787401574803	1379	35.9314399380829	75.4302931667841
SPBC651.09c	2034	59	38	22	1	234	12.2881355932203	1	0.0290068829891839	725	11.7950866177769	31.2219894765787
SPAC2G11.06	1744	32	14	21	1	202	19.4375	1	0.018348623853211	622	11.8020644134034	19.7498138999723
SPAC12B10.11	1713	118	54	68	1	948	20.6610169491525	2	0.0688849970811442	2438	47.0966931724549	74.1453900704741
SPAC977.02	979	5	3	2	1	131	27	1	0.00510725229826353	135	4.56315428745077	5.49726689248464
SPNCRNA.850	1135	40	19	21	1	84	9.65	6	0.0352422907488987	386	11.2539639504123	37.9335632616209
SPNCRNA.881	978	164	86	84	1	264	19.5060975609756	68	0.167689161554192	3199	108.240418266139	180.494720488704
SPAC3A12.08	1232	103	57	58	1	286	19.1844660194175	30	0.0836038961038961	1976	53.0750374079525	89.9882957203691
SPAC23C4.12	2180	185	103	86	1	346	11.7135135135135	3	0.0848623853211009	2167	32.8939853168426	91.3428892873721
SPATRNASER.01	98	4	2	2	1	1	1	1	0.0408163265306122	4	1.35066607631574	43.9332594917752
SPBC146.12	2049	93	46	54	1	283	21.6344086021505	1	0.0453879941434846	2012	32.4937694318731	48.8540418506637
SPAC630.14c	3593	211	99	128	1	355	11.175355450237	37	0.058725299192875	2358	21.7170414402551	63.2098483002316
SPCC1840.02c	7848	180	85	102	1	636	18.45	8	0.0229357798165138	3321	14.0030925033629	24.6872673749654
SPAC1002.13c	2013	68	32	38	1	48	4.69117647058824	7	0.0337804272230502	319	5.2439794930182	36.3600647358656
SPBC530.07c	1548	128	60	72	1	121	8.4140625	3	0.082687338501292	1077	23.022836190378	89.0017453270072
SPNCRNA.986	2514	128	58	76	1	364	14.1171875	1	0.050914876690533	1807	23.7852081136087	54.8029839961047
SPAC29A4.04c	1869	52	23	29	1	76	5.86538461538461	1	0.0278223649010166	305	5.40013496804138	29.9470158333449
SPAC6F12.15c	2801	83	48	41	1	157	13.2048192771084	3	0.0296322741877901	1096	12.9482632921207	31.8951385849785
SPACUNK4.09	1156	72	44	31	1	128	10.3611111111111	1	0.0622837370242214	746	21.3547784401581	67.0400257296639
SPAC4A8.04	2167	179	94	93	1	965	21.2793296089385	1	0.082602676511306	3809	58.1655900206842	88.9106181362161
SPAC6G10.04c	1345	37	26	11	1	25	5.16216216216216	1	0.0275092936802974	191	4.69921331161301	29.610036973453
SPBC83.06c	670	23	12	14	1	175	15.2173913043478	3	0.0343283582089552	350	17.2865098573245	36.9498383934557
SPSNORNA.02	78	2	2	0	1	6	3.5	6	0.0256410256410256	7	2.96973374471986	27.5990989114998
SPACUNK4.10	1755	128	62	70	1	191	11.359375	11	0.0729344729344729	1454	27.4158277131598	78.5041035704884
SPNCRNA.902	1286	103	47	61	1	390	19.2621359223301	1	0.0800933125972006	1984	51.0522368876791	86.2096270042728
SPNCRNA.1044	3408	204	101	108	1	2424	24.4754901960784	3	0.0598591549295775	4993	48.4815009144923	64.4302907687478
SPNCRNA.534	457	51	26	27	1	1277	37.7058823529412	5	0.111597374179431	1923	139.244214850113	120.119491761429
SPAC10F6.08c	1181	50	31	23	1	127	9.72	3	0.0423370025402202	486	13.6175960801791	45.5700617082342
SPNCRNA.29	749	27	16	12	1	175	10.6296296296296	1	0.0360480640854473	287	12.6798511556931	38.8008693642314
SPAC23H3.06	3247	105	52	59	1	163	14.0952380952381	2	0.0323375423467816	1480	15.0832004703445	34.806994161562
SPAPB1A10.11c	2115	59	32	28	1	115	7.8135593220339	26	0.0278959810874704	461	7.21281229264685	30.0262537093906
SPAC10F6.14c	1815	126	81	57	1	254	17.2380952380952	10	0.0694214876033058	2172	39.6001898540307	74.7228496149367
SPAC186.05c	1471	32	13	19	1	61	3.8125	1	0.0217539089055065	122	2.74448735697331	23.4151430601983
SPNCRNA.1161	535	28	15	13	1	44	6.82142857142857	26	0.0523364485981308	191	11.8139101011579	56.3331140399211
SPBC646.08c	2189	122	63	65	1	1309	21.5081967213115	8	0.055733211512106	2624	39.66725478035	59.989270269948
SPAC1805.17	4368	106	50	61	1	94	9.76415094339623	2	0.0242673992673993	1035	7.84100618822718	26.1205757555266
SPBC15C4.02	2435	154	83	76	1	406	22.1363636363636	15	0.0632443531827515	3409	46.3278464176298	68.0739992042989
SPCC757.07c	2212	164	81	93	1	501	13.0731707317073	1	0.0741410488245931	2144	32.0740450527636	79.802819456579
SPBC15D4.06	910	116	70	53	1	452	26.4655172413793	4	0.127472527472527	3070	111.63774607702	137.206948874313
SPAC4G8.05	2165	111	63	60	1	930	16.5585585585586	4	0.051270207852194	1838	28.0932305231288	55.1854499713084
SPRRNA.29	241	48	31	18	1	199	10.25	1	0.199170124481328	492	67.5557215099996	214.37972266526
SPBC1604.09c	1240	175	92	94	1	438	20.6114285714286	33	0.141129032258065	3607	96.2583767444647	151.906330702408
SPBC16H5.04	917	58	30	33	1	489	22.3620689655172	17	0.0632497273718648	1297	46.8041881941625	68.0797837925982
SPMITTRNAMET.02	73	22	12	12	1	12	1.81818181818182	2	0.301369863013699	40	18.1322295176633	324.383929672149
SPNCRNA.289	327	22	11	11	1	10	2.5	3	0.0672782874617737	55	5.56581815851821	72.4159842998986
SPAC3G9.15c	693	13	6	7	1	78	12.7692307692308	8	0.0187590187590188	166	7.92663626605498	20.1915485543007
SPBC216.03	1319	69	36	34	1	34	5.72463768115942	9	0.0523123578468537	395	9.90983392990565	56.3071836018544
SPAC821.04c	3518	353	200	189	1	2548	39.7507082152975	4	0.100341102899375	14032	131.989023985256	108.003636928544
SPAC9.07c	1383	132	66	71	1	182	11.4090909090909	155	0.0954446854663774	1506	36.0343645826621	102.733305275778
SPNCRNA.1333	534	64	29	40	1	290	19.546875	4	0.119850187265918	1251	77.522921172358	129.00252974364
SPBC106.15	1070	42	21	21	1	99	10.6190476190476	1	0.0392523364485981	446	13.7932039400954	42.2498355299408
SPAC16E8.12c	1204	63	28	37	1	113	15.1587301587302	1	0.0523255813953488	955	26.2476823260776	56.3214169647467
SPBC14F5.04c	1723	364	168	222	1	179	7.79395604395604	1	0.211259431224608	2837	54.4864025730933	227.392227595851
SPNCRNA.449	364	0	0	0	0	0	0	0	0	0	0	0
SPAC57A7.07c	1392	151	78	84	1	407	21.4701986754967	7	0.108477011494253	3242	77.0704423675881	116.760843024298
SPAC23A1.06c	2347	153	81	77	1	2830	33.3921568627451	1	0.0651896037494674	5109	72.0338935259817	70.1677985534382
SPBC23G7.08c	2969	207	105	140	1	1344	48.8454106280193	2	0.0697204445941394	10111	112.693272176455	75.0446364137885
SPAC4F8.11	5299	243	121	125	1	142	13.082304526749	3	0.0458577090016984	3179	19.852293392506	49.3596264171134
SPAPB8E5.05	919	65	36	31	1	139	12.9384615384615	139	0.0707290533188248	841	30.2826976816622	76.1302674000566
SPBC1347.11	1330	391	207	221	1	792	17.1892583120205	1	0.293984962406015	6721	167.223123401122	316.435082181549
SPBC8D2.13	3137	69	36	35	1	323	25.6086956521739	2	0.0219955371373924	1767	18.6395793569725	23.675223197592
SPAC23D3.10c	2833	205	96	113	1	588	14.9365853658537	1	0.0723614542887399	3062	35.7661907444865	77.8873264375012
SPNCRNA.838	2567	43	21	23	1	129	6	129	0.0167510712894429	258	3.32589024869177	18.0302644622459
SPNCRNA.1271	1492	116	60	60	1	110	9.68965517241379	4	0.0777479892761394	1124	24.9293849930179	83.6852034018935
SPAPB17E12.09	875	60	30	33	1	38	4.83333333333333	1	0.0685714285714286	290	10.9674085396838	73.8078759461824
SPNCRNA.1241	745	86	36	54	1	343	15	7	0.115436241610738	1290	57.2990622039716	124.251513757276
SPNCRNA.1307	1730	69	43	26	1	7804	123.623188405797	2	0.0398843930635838	8530	163.161242750777	42.9301590582925
SPBC1A4.09	5147	106	46	62	1	742	16.6037735849057	742	0.0205945210802409	1760	11.3154694405935	22.1672187488129
SPBC839.09c	1054	40	26	14	1	315	26.15	16	0.0379506641366224	1046	32.8401513640829	40.8487611972863
SPBC29A3.13	2779	226	127	113	1	1146	23.0530973451327	2	0.0813242173443685	5210	62.0387806086082	87.5345296171138
SPATRNASER.03	97	20	9	13	1	174	17.4	1	0.206185567010309	348	118.719370790391	221.930898463607
SPCC965.03	1846	32	18	14	1	7	1.875	3	0.0173347778981582	60	1.07555749305749	18.6585457429858
SPAC16C9.02c	1417	139	78	64	1	150	8.8273381294964	1	0.0980945659844742	1227	28.6542330650427	105.58554354216
SPCC550.05	2042	102	45	59	1	118	7.52941176470588	1	0.049951028403526	768	12.4457066072267	53.7655315719619
SPAC22A12.12c	1217	70	38	34	1	963	31.2571428571429	963	0.057518488085456	2188	59.4936776392616	61.9108792345066
SPCC2H8.02	3037	186	98	97	1	385	19.7903225806452	283	0.0612446493249918	3681	40.108378254691	65.9215882463022
SPAC227.18	1721	135	69	70	1	103	6.34814814814815	3	0.0784427658338176	857	16.4783615754581	84.4330364724268
SPAC6B12.03c	1221	104	55	54	1	485	29.3942307692308	37	0.0851760851760852	3057	82.8502553519915	91.6805447870952
SPNCRNA.980	3877	660	367	353	1	2533	34.6106060606061	3	0.170234717565128	22843	194.971626758156	183.234667521797
SPNCRNA.972	3437	135	80	58	1	98	7.1037037037037	3	0.0392784405004364	959	9.23321931803212	42.2779330139792
SPAC56F8.10	2194	114	67	50	1	355	12.4561403508772	1	0.0519598906107566	1420	21.417353142673	55.9278002554823
SPBC12C2.07c	1228	94	55	39	1	386	13.5744680851064	2	0.0765472312703583	1276	34.3847906170868	82.3927496820508
SPAC3G6.07	708	84	42	46	1	236	13.9166666666667	1	0.11864406779661	1169	54.6380674558204	127.704305132872
SPAC6F12.03c	1276	65	40	28	1	165	18.4923076923077	13	0.0509404388714734	1202	31.1722298443747	54.8304982293511
SPRRNA.16	135	26	15	11	1	76	10.5	2	0.192592592592593	273	66.9180003810208	207.299898490821
SPBC3B9.17	910	78	43	49	1	600	23.7435897435897	16	0.0857142857142857	1852	67.3462885129124	92.259844932728
SPNCRNA.543	359	60	38	28	1	197	12.15	2	0.167130919220056	729	67.19657787197	179.893848058244
SPNCRNA.1476	1850	115	62	59	1	691	18.3565217391304	1	0.0621621621621622	2111	37.7598779102766	66.909166820582
SPAC27D7.05c	753	96	46	56	1	1167	22.9895833333333	1	0.127490039840637	2207	96.9887659302874	137.225798571919
SPBC1348.02	1825	0	0	0	0	0	0	0	0	0	0	0
SPBC1709.08	4935	71	31	40	1	157	11.0281690140845	6	0.014387031408308	783	5.25035515197628	15.4856950123491
SPAP27G11.15	2724	89	44	45	1	47	6.32584269662921	2	0.0326725403817915	563	6.83935848886238	35.1675742737944
SPAC13D6.01	1632	147	81	69	1	361	13.6462585034014	361	0.0900735294117647	2006	40.6747461107166	96.9519816541841
